Permit Application No.,Applicant,Expiration Date,Location,Project Description,Project Manager Phone,Project Manager Email,Project Manager Name,Public Notice Date,Public Notice URL,Total Acres,CUP,WQC,Says 'Section 10',Says 'Section 404',Says 'Drill',Says 'Road',Says 'Mitigation Bank'
MVN-2011-30781-WII,Crosstex NGL Pipeline,2012-08-27 00:00:00,Multiple Parishes,"Natural Gas Pipeline in Calcasieu, Jefferson Davis, Allen and Acadia Parishes in MULTIPLE PARISHES",504-862-1113,Miranda.A.Martin@usace.army.mil,Miranda Martin,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-30781-WII/public_notice.pdf,39.3,,111130-01,True,True,True,True,False
MVN-2010-0488-EFF,"CRX, LLC",2012-08-27 00:00:00,Orleans Parish,"Excavate and deposit fill for a home site, recreational uses, and marsh protection and restoration in ORLEANS PARISH",504-862-2260,Darrell.Barbara@usace.army.mil,Darrell Barbara,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-0488-EFF/public_notice.pdf,27.380000000000003,,,True,True,False,False,False
MVN-2010-1080-WLL_MVN-2010-1032-WLLB,Mallard Basin LLC,2012-08-26 00:00:00,St. Martin Parish,Moist soil management project and structures in ST. MARTIN PARISH,504-862-1954,michael.h.herrmann@usace.army.mil,Mike Herrmann,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-1080-WLL_MVN-2010-1032-WLLB/public_notice.pdf,1900.0,,,True,False,False,True,False
MVN-2010-1080-WLL_MVN-2010-1032-WLL-A,Mallard Basin LLC,2012-08-26 00:00:00,St. Martin Parish,Moist soil management project and structures in ST. MARTIN PARISH,504-862-1954,michael.h.herrmann@usace.army.mil,Mike Herrmann,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-1080-WLL_MVN-2010-1032-WLL-A/public_notice.pdf,7900.9,,,False,True,False,True,False
MVN-2012-01965-WKK,Karen Rae Dulany,2012-08-26 00:00:00,Calcasieu Parish,Bulkhead and Fill in CALCASIEU PARISH,504-862-1025,sara.b.fortuna@usace.army.mil,Sara Fortuna,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01965-WKK/public_notice.pdf,4.04,,,True,True,False,True,False
MVN-2012-01340-CM,Alvin G. Bateman,2012-08-27 00:00:00,Livingston Parish,Rip rap for erosion protection on the Amite River in LIVINGSTON PARISH,504-862-1301,neil.t.gauthier@usace.army.mil,Neil Gauthier,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01340-CM/public_notice.pdf,0,,,True,True,False,True,False
MVN-2010-0024-EII,CHEVRON PIPELINE COMPANY,2012-08-19 00:00:00,Plaquemines Parish,DREDGE IN ORDER TO DIRECTIONALLY BORE FOR A REPLACEMENT PIPELINE in PLAQUEMINES PARISH,504-862-2822,Edward.F.Wrubluski@usace.army.mil,Ed Wrubluski,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-0024-EII/public_notice.pdf,22.92,,,True,True,False,False,False
MVN-2012-01935-WKK,"Orbit Energy, Inc.",2012-08-26 00:00:00,Multiple Parishes,3-D Seismic Survey in MULTIPLE PARISHES,504-862-1025,sara.b.fortuna@usace.army.mil,Sara Fortuna,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01935-WKK/public_notice.pdf,0.0,,,True,True,True,True,False
MVN-2012-1266-CU,Carline Management,2012-09-05 00:00:00,Ascension Parish,"Barge fleeting operation in Mississippi River, Mile176 in ASCENSION PARISH",504-862-1588,Doris.Terrell@usace.army.mil,Doris Terrell,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1266-CU/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-0915-CU,"Dixie Shipyard, Inc.",2012-08-26 00:00:00,Terrebonne Parish,"Maintenance dredging, bulkhead and concrete mats in slip off GIWW in TERREBONNE PARISH",504-862-1588,Doris.Terrell@usace.army.mil,Doris Terrell,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-0915-CU/public_notice.pdf,0.5,,120801-01,True,True,False,False,False
MVN-2011-1918-CU,Art Lancaster,2012-08-26 00:00:00,East Baton Rouge Parish,Clearing and fill for single-family residential development in EAST BATON ROUGE PARISH,504-862-1588,Doris.Terrell@usace.army.mil,Doris Terrell,2012-08-06 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-1918-CU/public_notice.pdf,1.24,,110808-04,True,True,False,True,True
MVN-2012-1762-CU,Catherine Rogers,2012-08-22 00:00:00,Lafourche Parish,"Dredging, riprap on Bayou Lafourche in LAFOURCHE PARISH",504-862-1588,Doris.Terrell@usace.army.mil,Doris Terrell,2012-08-02 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1762-CU/public_notice.pdf,0.16,P20120790,,True,True,False,False,False
MVN-2011-02043-ETT,Plaquemines Parish Goverment,2012-08-20 00:00:00,Plaquemines Parish,Restore Cat Island in PLAQUEMINES PARISH,504-862-2041,Robert.M.Tewis2@usace.army.mil,Robert Tewis,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-02043-ETT/public_notice.pdf,276.0,,120730-01,True,True,False,False,False
MVN-2012-1846-WII,"St. Charles Gaming Company, Inc.",2012-08-14 00:00:00,St. Charles Parish,Mooring Facilities for Museum Ship in Calcasieu Parish in ST. CHARLES PARISH,504-862-2272,James.Little@usace.army.mil,James Little,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1846-WII/public_notice.pdf,0.009,,,True,True,False,False,False
MVN-2012-00199-CM,"Strand Energy, LLC",2012-08-20 00:00:00,Livingston Parish,3D Seismic Survey in Livingston Parish in LIVINGSTON PARISH,504-862-1301,neil.t.gauthier@usace.army.mil,Neil Gauthier,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-00199-CM/public_notice.pdf,0,,,True,True,True,False,False
MVN-2011-00989-CL,"Chris Moran's Marina, LLC",2012-08-19 00:00:00,Lafourche Parish,Fill for a parking lot in LAFOURCHE PARISH,504-862-1577,amy.l.oestringer@usace.army.mil,Amy Oestringer,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-00989-CL/public_notice.pdf,1.6,,,True,True,False,False,True
MVN-2005-1630-CYA,Lafourche Parish Government,2012-08-19 00:00:00,Lafourche Parish,Proposed modification to Choupic Levee C in LAFOURCHE PARISH,504-862-1581,John.M.Herman@usace.army.mil,John Herman,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2005-1630-CYA/public_notice.pdf,0,,,True,True,False,False,False
MVN-2006-0335-CYA,Terrebonne Parish Consolidated Government,2012-08-19 00:00:00,Terrebonne Parish,Proposed Ward 7 Levee Improvements and Northern Extension in TERREBONNE PARISH,504-862-1581,John.M.Herman@usace.army.mil,John Herman,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2006-0335-CYA/public_notice.pdf,11.5,,,True,True,False,True,False
MVN-2012-1879-EII,LOUISIANA DEPARTMENT OF WILD LIFE AND FISHERIES,2012-08-14 00:00:00,Plaquemines Parish,"ARTIFICIAL REEF STRUCTURE IN WEST DELTA, BLOCK 76 in PLAQUEMINES PARISH",504-862-2822,Edward.F.Wrubluski@usace.army.mil,Ed Wrubluski,2012-07-30 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1879-EII/public_notice.pdf,0,,,False,False,False,False,False
MVN-2012-1732-WJJ,Dennis Blaylock,2012-08-12 00:00:00,Cameron Parish,"Reclaim waterfront property, contruct: house, wharf, boathouse in CAMERON PARISH",504-862-2224,Bobby.D.Quebedeaux@usace.army.mil,Bobby Quebedeaux,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1732-WJJ/public_notice.pdf,0,P20120678,,True,True,False,False,True
MVN-2012-1660-WII,City of Lake Charles,2012-08-12 00:00:00,Calcasieu Parish,Sewer Force Main in Calcasieu Parish in CALCASIEU PARISH,504-862-2272,James.Little@usace.army.mil,James Little,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1660-WII/public_notice.pdf,2.05,,,True,True,False,True,True
MVN-2012-1504-CQ,Mr. Leland Anderson,2012-08-13 00:00:00,Ascension Parish,"Install a boat ramp, deck, boatshed, and rip-rap placement along lot on Amite River in ASCENSION PARISH",504-862-1217,Kenneth.G.Blanke@usace.army.mil,Kenneth Blanke,2012-01-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1504-CQ/public_notice.pdf,0.04,,120709-01,True,True,False,False,False
MVN-2012-1608-CQ,"Berthelot Holdings, LLC",2012-08-13 00:00:00,Ascension Parish,"Clear, Grade, Place and Maintain Fill Material for Residential Subdivision in ASCENSION PARISH",504-862-1217,Kenneth.G.Blanke@usace.army.mil,Kenneth Blanke,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1608-CQ/public_notice.pdf,62.68000000000001,,120719-06,True,True,False,True,True
MVN-2008-3300-WJJ,Lafourche Parish Government,2012-08-12 00:00:00,Lafourche Parish,Dredge & Fill for Marsh Creation in LAFOURCHE PARISH,504-862-2224,Bobby.D.Quebedeaux@usace.army.mil,Bobby Quebedeaux,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2008-3300-WJJ/public_notice.pdf,4286.0,,,True,True,False,False,False
MVN-2010-1270-WII,Prairie Gregg Drainage District of Vermilion,2012-08-12 00:00:00,Vermilion Parish,Levee Restoration in Vermilion Parish in VERMILION PARISH,504-862-2272,James.Little@usace.army.mil,James Little,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-1270-WII/public_notice.pdf,11.94,,,True,True,False,False,False
MVN-2012-01027-WMM,Big R Towing,2012-08-07 00:00:00,St. Mary Parish,Boat Slip and Bulkhead in ST. MARY PARISH,504-862-1879,angelle.v.greer@usace.army.mil,Angelle Greer,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01027-WMM/public_notice.pdf,0,,,True,True,False,True,False
MVN-2012-00926,Lafourche Parish Government,2012-08-13 00:00:00,Lafourche Parish,Terrace Construction in Lafourche Parish in LAFOURCHE PARISH,504-862-2548,Johnny.j.duplantis@usace.army.mil,Johnny Duplantis,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-00926/public_notice.pdf,1205.6,,120718-01,True,True,False,False,False
MVN-2012-0740-EBB,Greg Beyer,2012-08-12 00:00:00,Terrebonne Parish,Boat structures and driveway for camp on Bayou Dularge in TERREBONNE PARISH,504-862-2045,jennifer.e.burkett@usace.army.mil,Jennifer Burkett,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-0740-EBB/public_notice.pdf,0.04,,,True,True,False,True,False
MVN-2009-0862-EBB,Jefferson Parish Water Department,2012-08-22 00:00:00,Jefferson Parish,Maintenance dredging of water intake on Mississippi River in JEFFERSON PARISH,504-862-2045,jennifer.e.burkett@usace.army.mil,Jennifer Burkett,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2009-0862-EBB/public_notice.pdf,0.6,,,True,True,False,False,False
MVN-1997-0884-EPP,Bollinger Quick Repair,2012-08-22 00:00:00,Jefferson Parish,Modification/Time extension to maintenance dredge within the Harvey Canal and deposit dredge material into the Mississippi River in JEFFERSON PARISH,504-862-1564,Stephanie.L.Lacroix@usace.army.mil,Stephanie Lacroix,2012-07-23 00:00:00,http://chainsaw.chickenkiller.com:1419/pdfs/MVN-1997-0884-EPP/public_notice.pdf,0,,,True,True,False,False,False
