"Permit.Application.No.","Applicant","Expiration.Date","Location","Project.Description","Project.Manager.Phone","Project.Manager.Email","Project.Manager.Name","Public.Notice.Date","Public.Notice.URL","Total.Acres","CUP","WQC","Says..Section.10.","Says..Section.404.","Says..Drill.","Says..Road.","Says..Mitigation.Bank.","Parish"
"MVN-2011-30781-WII","Crosstex NGL Pipeline","2012-08-27 00:00:00","Multiple Parishes","Natural Gas Pipeline in Calcasieu, Jefferson Davis, Allen and Acadia Parishes in MULTIPLE PARISHES","504-862-1113","Miranda.A.Martin@usace.army.mil","Miranda Martin","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2011-30781-WII/public_notice.pdf",39.3,"","111130-01","True","True","True","True","False",NA
"MVN-2010-0488-EFF","CRX, LLC","2012-08-27 00:00:00","Orleans Parish","Excavate and deposit fill for a home site, recreational uses, and marsh protection and restoration in ORLEANS PARISH","504-862-2260","Darrell.Barbara@usace.army.mil","Darrell Barbara","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-0488-EFF/public_notice.pdf",27.38,"","","True","True","False","False","False","Orleans"
"MVN-2010-1080-WLL_MVN-2010-1032-WLLB","Mallard Basin LLC","2012-08-26 00:00:00","St. Martin Parish","Moist soil management project and structures in ST. MARTIN PARISH","504-862-1954","michael.h.herrmann@usace.army.mil","Mike Herrmann","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-1080-WLL_MVN-2010-1032-WLLB/public_notice.pdf",1900,"","","True","False","False","True","False","St. Martin"
"MVN-2010-1080-WLL_MVN-2010-1032-WLL-A","Mallard Basin LLC","2012-08-26 00:00:00","St. Martin Parish","Moist soil management project and structures in ST. MARTIN PARISH","504-862-1954","michael.h.herrmann@usace.army.mil","Mike Herrmann","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-1080-WLL_MVN-2010-1032-WLL-A/public_notice.pdf",7900.9,"","","False","True","False","True","False","St. Martin"
"MVN-2012-01965-WKK","Karen Rae Dulany","2012-08-26 00:00:00","Calcasieu Parish","Bulkhead and Fill in CALCASIEU PARISH","504-862-1025","sara.b.fortuna@usace.army.mil","Sara Fortuna","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01965-WKK/public_notice.pdf",4.04,"","","True","True","False","True","False","Calcasieu"
"MVN-2012-01340-CM","Alvin G. Bateman","2012-08-27 00:00:00","Livingston Parish","Rip rap for erosion protection on the Amite River in LIVINGSTON PARISH","504-862-1301","neil.t.gauthier@usace.army.mil","Neil Gauthier","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01340-CM/public_notice.pdf",0,"","","True","True","False","True","False","Livingston"
"MVN-2010-0024-EII","CHEVRON PIPELINE COMPANY","2012-08-19 00:00:00","Plaquemines Parish","DREDGE IN ORDER TO DIRECTIONALLY BORE FOR A REPLACEMENT PIPELINE in PLAQUEMINES PARISH","504-862-2822","Edward.F.Wrubluski@usace.army.mil","Ed Wrubluski","2012-07-30 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2010-0024-EII/public_notice.pdf",22.92,"","","True","True","False","False","False","Plaquemines"
"MVN-2012-01935-WKK","Orbit Energy, Inc.","2012-08-26 00:00:00","Multiple Parishes","3-D Seismic Survey in MULTIPLE PARISHES","504-862-1025","sara.b.fortuna@usace.army.mil","Sara Fortuna","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-01935-WKK/public_notice.pdf",0,"","","True","True","True","True","False","Multiple Parishes"
"MVN-2012-1266-CU","Carline Management","2012-09-05 00:00:00","Ascension Parish","Barge fleeting operation in Mississippi River, Mile176 in ASCENSION PARISH","504-862-1588","Doris.Terrell@usace.army.mil","Doris Terrell","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-1266-CU/public_notice.pdf",0,"","","False","False","False","False","False","Ascension"
"MVN-2012-0915-CU","Dixie Shipyard, Inc.","2012-08-26 00:00:00","Terrebonne Parish","Maintenance dredging, bulkhead and concrete mats in slip off GIWW in TERREBONNE PARISH","504-862-1588","Doris.Terrell@usace.army.mil","Doris Terrell","2012-08-06 00:00:00","http://chainsaw.chickenkiller.com:1419/pdfs/MVN-2012-0915-CU/public_notice.pdf",0.5,"","120801-01","True","True","False","False","False","Terrebonne"
